video_id,titulo,fecha_publicacion,duracion_seg,pct_reproducido,duracion_promedio_vista,vistas,horas_reproduccion,categoria,es_short,ingresos_usd
JVrzJXcwxkI,La arqueóloga dominicana que logró lo inimaginable – Dra. Kathleen Martínez Ep.2,"Dec 9, 2024",402,33.56,0:02:14,164,6.1084,Documental (Kathleen Martínez),False,0.289
T4Qvp2PSA44,¿Se vende el Mundial? La polémica propuesta que desata una crisis en la FIFA,"Jul 29, 2026",95,89.0,0:01:24,440,5.5405,Deportes,True,0.034
dAGdLBjfrWU,Lecciones de vida y negocios - Don Pepin Corripio,"Mar 12, 2026",770,43.81,0:05:37,56,5.2471,Otros / Institucional,False,
D-TdNA3lRZ0,¿Cómo se produce Ron Barceló?,"Nov 24, 2015",1235,27.68,0:05:41,50,4.7477,Otros / Institucional,False,
82oTAq5xD8k,Juan Carlos Escotet (Banesco): No debe cambiar la estrategia si los resultados son satisfactorios,"May 28, 2025",871,44.64,0:06:28,35,3.7805,Empresarios / Liderazgo,False,
GUwm1t9w1Ts,La Conquista De Un Sueño - Grupo PuntaCana,"Aug 21, 2019",618,56.5,0:05:49,37,3.5885,Otros / Institucional,False,
QA1h1I_c2g4,Informe que anticipó el riesgo sísmico en Venezuela llegó a su gobierno hace 25 años,"Jul 2, 2026",98,67.15,0:01:05,263,3.5227,Noticias breves (geopolítica/actualidad),True,0.025
99LGvbtOvBo,¿La peor derrota de Trump? Opiniones divididas por el acuerdo de paz,"Jun 18, 2026",98,77.53,0:01:15,269,3.482,Noticias breves (geopolítica/actualidad),True,0.019
O9cZyClnfe8,La dura decisión de no ceder el proyecto ni la bandera dominicana - Dra Kathleen Martínez Ep.3,"Dec 11, 2024",304,55.49,0:02:48,74,3.4211,Documental (Kathleen Martínez),False,0.168
JQBx9orXtQU,¿Cómo se produce Ron Brugal?,"Nov 27, 2015",1519,20.56,0:05:12,33,2.8631,Otros / Institucional,False,0.034
MHggLrPp8Aw,Conversaciones con el Dr. Enrique Rojas Episode 2 - Mercado Podcast,"Aug 10, 2024",1030,42.89,0:07:21,23,2.8224,Mercado Podcast,False,0.041
2oRus5S6mUA,Guerra inminente: EE UU e Irán rompen el pacto de paz con bombardeos masivos,"Jul 9, 2026",84,140.91,0:01:58,165,2.6468,Noticias breves (geopolítica/actualidad),True,0.013
AxRpqREtrBU,De la CIA al servicio diplomático: Leah F. Campos y sus prioridades en RD,"Dec 17, 2025",815,38.53,0:05:14,30,2.6171,Otros / Institucional,False,0.062
J-DuD8zx9NI,Mercado Family Values 2023 - Evento completo,"Dec 7, 2023",8600,36.28,0:52:00,3,2.6,Empresarios / Liderazgo,False,0.016
DllHnw8bnVw,Megaincendios temperaturas extremas ponen al mundo bajo presión climática,"Jul 28, 2026",113,66.91,0:01:15,205,2.5837,Otros / Institucional,True,0.015
ED0RuIxS1K0,La guerra sacude los mercados internacionales,"Jul 14, 2026",86,89.65,0:01:17,267,2.5836,Noticias breves (geopolítica/actualidad),True,0.017
4-VS4a7CUz0,Imposición arancelaria sacude los mercados: RD queda en la línea de impacto,"Jul 24, 2026",100,101.83,0:01:41,173,2.5413,Otros / Institucional,True,0.016
n5pRBmJqD8Y,El inicio del viaje tras la pista de Cleopatra - Dra. Kathleen Martínez Ep.1,"Dec 6, 2024",467,25.83,0:02:00,74,2.48,Documental (Kathleen Martínez),False,0.064
i8eUpbgfbxU,La clave para equilibrar cabeza y corazón en la vida y el trabajo - Isabel Rojas Estapé,"Jul 4, 2025",2321,29.16,0:11:16,12,2.2559,Mercado Podcast,False,0.026
L5_DYEWNaOM,¿Será RD el próximo líder energético del Caribe? CLAUDIO HUEPE,"Aug 3, 2026",36,134.51,0:00:48,366,2.126,Empresarios / Liderazgo,True,0.018
7LQtC4u2wH4,"Innovación y mindset digital para crear campañas de éxito, por Yasser Mármol (Liquid)","Apr 10, 2024",1927,53.25,0:17:06,7,1.9953,Otros / Institucional,False,
aDkVGylH4Dg,La derrota expuso el lado más polémico de la Albiceleste,"Jul 20, 2026",134,67.05,0:01:29,127,1.9352,Deportes,True,0.009
