autor,entidad,tipo,notas,confianza,meses_activos,mes_primero,mes_reciente,demanda_reciente_ratio,es_recurrente
Edwin Lozada,Abinader,entidad,2,baja,1,2026-02,2026-02,0.0,False
Edwin Lozada,clásico mundial,tema,2,baja,1,2026-03,2026-03,0.0,False
Edwin Lozada,corona campeona,tema,2,baja,1,2026-07,2026-07,1.0,False
Edwin Lozada,desfile militar,tema,2,baja,1,2026-02,2026-02,0.0,False
Edwin Lozada,empate técnico,tema,2,baja,1,2026-06,2026-06,0.0,False
Edwin Lozada,España,entidad,6,media,1,2026-07,2026-07,1.0,False
Edwin Lozada,Keiko Fujimori,entidad,4,media,1,2026-06,2026-06,0.0,False
Edwin Lozada,Jorge Messi,entidad,2,baja,1,2026-08,2026-08,0.0,False
Edwin Lozada,Lionel Messi,entidad,5,media,1,2026-08,2026-08,0.0,False
Edwin Lozada,Meta RD,entidad,2,baja,1,2026-02,2026-02,0.0,False
Edwin Lozada,mundial tras vencer,tema,2,baja,1,2026-07,2026-07,1.0,False
Edwin Lozada,sánchez toma,tema,2,baja,1,2026-06,2026-06,0.0,False
Edwin Lozada,sismo de magnitud,tema,2,baja,1,2026-08,2026-08,0.0,False
Edwin Lozada,Argentina,entidad,4,media,1,2026-07,2026-07,1.0,False
Elba Reyes,dólar hoy en república,tema,75,alta,7,2026-01,2026-07,1.0,True
Elba Reyes,precio del dólar,tema,101,alta,7,2026-01,2026-07,0.9440445080168915,True
Elba Reyes,Mundial,tema,60,alta,6,2026-02,2026-07,1.0,True
Elba Reyes,América Latina,entidad,6,media,5,2026-01,2026-07,0.11710581341756662,True
Elba Reyes,resultados de la lotería,tema,51,alta,5,2026-03,2026-08,0.4886092547312159,True
Elba Reyes,calendario lunar,tema,7,media,4,2026-03,2026-07,0.553655856300002,True
Elba Reyes,eclipse solar,tema,5,media,4,2026-04,2026-08,0.3504165922273599,True
Elba Reyes,Juan Soto,entidad,5,media,4,2026-04,2026-07,0.22352767438348875,True
Elba Reyes,Latinoamérica,entidad,9,media,4,2026-02,2026-07,0.21991779016382096,True
Elba Reyes,punta cana,entidad,8,media,4,2026-03,2026-07,0.24695860430657054,True
Elba Reyes,Quiniela Real del domingo,entidad,50,alta,4,2026-05,2026-08,0.48870708612124314,True
Elba Reyes,Santo Domingo,entidad,14,alta,4,2026-04,2026-08,0.18507759008711241,True
Elba Reyes,cédula en república,tema,3,media,3,2026-01,2026-07,0.6432689622343526,True
Elba Reyes,Estados Unidos,entidad,4,media,3,2026-02,2026-07,0.37343067549373216,True
Elba Reyes,mejores hoteles,tema,5,media,3,2026-03,2026-07,0.12232611205082253,True
Elba Reyes,quién ganará,tema,7,media,3,2026-03,2026-07,1.0,True
Elba Reyes,inteligencia artificial,tema,4,media,4,2026-01,2026-07,0.09647896966773194,False
Elba Reyes,caras del mundo,tema,3,media,3,2026-01,2026-07,0.03513918434665913,False
Elba Reyes,Clinic,entidad,4,media,3,2026-02,2026-06,0.0,False
Elba Reyes,dólar en república,tema,10,alta,3,2026-02,2026-04,0.0,False
Elba Reyes,Bono,entidad,8,media,3,2026-01,2026-07,0.036589533745096554,False
Elba Reyes,Netflix,entidad,3,media,3,2026-02,2026-07,0.0,False
Elba Reyes,años de qué murió,tema,2,baja,2,2026-06,2026-07,0.08583979235555703,False
Elba Reyes,Apple,entidad,8,media,2,2026-07,2026-08,0.0,False
